data_feed_id,merchant_id,merchant_name,aw_product_id,aw_deep_link,aw_image_url,aw_thumb_url,category_id,category_name,brand_id,brand_name,merchant_product_id,merchant_category,upc,isbn,model_number,product_name,description,merchant_deep_link,merchant_thumb_url,merchant_image_url,search_price,rrp_price,commission_group,keywords,custom_1,custom_2,custom_3,custom_4,custom_5,reviews,basket_link,product_short_description,merchant_product_second_category,merchant_product_third_category,stock_status
105368,109230,Tsarbomba,41882883891,https://www.awin1.com/pclick.php?p=41882883891&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F8204Q_8e219a74-f00f-4f39-bd35-49f30a73341b.png%3Fv%3D1724725312&feedId=105368&k=20d0ea1e055ef0900e00e2df80c7ea336add2d23,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F4_f5287239-f41c-41d3-b140-eff6d15dd0e9.jpg%3Fv%3D1724725333%C3%AF%C2%BC%C5%92https%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F8204Q-SBK-1.jpg%3Fv%3D1721201192&feedId=105368&k=3818a5e76ca5071d69c971a8e950eb61684ab5ba,544,"Men's Watches",,43mm*50.5mm*14mm,TB8204Q-31,TB8204Q-31,,,7.62704E+11,"Elemental Series-Calendar Version TB8204Q Silver Black","Stylish barrel-shaped quartz chronograph silver black watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441655983,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/4_f5287239-f41c-41d3-b140-eff6d15dd0e9.jpg?v=1724725333ï¼Œhttps://cdn.shopify.com/s/files/1/0540/8145/4255/files/8204Q-SBK-1.jpg?v=1721201192,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/8204Q_8e219a74-f00f-4f39-bd35-49f30a73341b.png?v=1724725312,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Silver Black",,,,"Stylish barrel-shaped quartz chronograph silver black watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883892,https://www.awin1.com/pclick.php?p=41882883892&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F11_b109c8a8-d4a5-41a3-bae6-2cd0082e1fb3.png%3Fv%3D1729565302&feedId=105368&k=342f7367d89e3e2487752b52fcfd147aba8031ee,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F64.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F60_6baba1a3-ddef-4426-ae4b-818b34408135.jpg%3Fv%3D1724725333&feedId=105368&k=0bce1576adaea349594dbbe21f520f654a5134a9,544,"Men's Watches",,43mm*50.5mm*14mm,TB8204Q-36,TB8204Q-36,,,7.62704E+11,"Elemental Series-Calendar Version TB8204Q Elite Blue","Stylish barrel-shaped quartz chronograph elite blue watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=43777237876992,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/64.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/60_6baba1a3-ddef-4426-ae4b-818b34408135.jpg?v=1724725333",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/11_b109c8a8-d4a5-41a3-bae6-2cd0082e1fb3.png?v=1729565302,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Elite Blue",,,,"Stylish barrel-shaped quartz chronograph elite blue watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883893,https://www.awin1.com/pclick.php?p=41882883893&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F10_67c5dd4c-3faa-4852-baae-805bd8c372d7.png%3Fv%3D1729565303&feedId=105368&k=d449536aed6007f3e499b50810a18a3ed0698e63,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F8204_8af42317-273d-4e58-995d-a466042e4b09.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F8204Q-SBL-2.jpg%3Fv%3D1721201192&feedId=105368&k=7b2bfda27cf964d6a3c1d643251c7077ec6e38a4,544,"Men's Watches",,43mm*50.5mm*15.5mm,TB8204Q-14,TB8204Q-14,,,7.17299E+11,"Elemental Series-Calendar Version TB8204Q Silver Blue","Stylish barrel-shaped quartz chronograph silver blue watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441590447,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/8204_8af42317-273d-4e58-995d-a466042e4b09.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/8204Q-SBL-2.jpg?v=1721201192",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/10_67c5dd4c-3faa-4852-baae-805bd8c372d7.png?v=1729565303,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Silver Blue",,,,"Stylish barrel-shaped quartz chronograph silver blue watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883894,https://www.awin1.com/pclick.php?p=41882883894&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F9_c9ad9715-38b7-4c3c-bf79-00ccb598b697.png%3Fv%3D1729565302&feedId=105368&k=51e800314290f2bc43682ed1304639f6a88d36fd,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F11_e8c6a6d5-53d4-4a3e-9f08-863bdc04c01a.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F8204Q-SR-2.jpg%3Fv%3D1721201192&feedId=105368&k=9167829360490f6c9de7f770ea4dff6fc6989822,544,"Men's Watches",,43mm*50.5mm*14mm,TB8204Q-33,TB8204Q-33,,,7.62704E+11,"Elemental Series-Calendar Version TB8204Q Silver Red","Stylish barrel-shaped quartz chronograph silver red watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441623215,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/11_e8c6a6d5-53d4-4a3e-9f08-863bdc04c01a.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/8204Q-SR-2.jpg?v=1721201192",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/9_c9ad9715-38b7-4c3c-bf79-00ccb598b697.png?v=1729565302,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Silver Red",,,,"Stylish barrel-shaped quartz chronograph silver red watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883895,https://www.awin1.com/pclick.php?p=41882883895&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F6_a002fb59-e406-41e4-9373-8163ce4a8483.png%3Fv%3D1729565302&feedId=105368&k=2ee768f8e983ff128dbd9bc22109d89797e1ab33,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F14_ddf18dc8-a9f0-4232-b9b9-1f3ab7cf3bf8.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F8204Q-GBK-2.jpg%3Fv%3D1721201192&feedId=105368&k=bce4a75d0b065f1956a24e9240341ccedd95bddf,544,"Men's Watches",,43mm*50.5mm*14mm,TB8204Q-35,TB8204Q-35,,,7.62704E+11,"Elemental Series-Calendar Version TB8204Q Golden Black","Stylish barrel-shaped quartz chronograph golden black watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441918127,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/14_ddf18dc8-a9f0-4232-b9b9-1f3ab7cf3bf8.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/8204Q-GBK-2.jpg?v=1721201192",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/6_a002fb59-e406-41e4-9373-8163ce4a8483.png?v=1729565302,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Golden Black",,,,"Stylish barrel-shaped quartz chronograph golden black watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883896,https://www.awin1.com/pclick.php?p=41882883896&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F7_2445524c-a990-45c4-ab76-fd6fe70c0f7a.png%3Fv%3D1729565303&feedId=105368&k=0bed040108bf9aa518a2f6f4a85871eb0bbe8671,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F22_bc700677-9e0c-447c-b42e-9f91e27c1281.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F19_97b9733b-0383-4af7-bb2d-3895c0e0bf76.jpg%3Fv%3D1724725333&feedId=105368&k=3e0226507229f2fdeb98368017cd1b8729114a3d,544,"Men's Watches",,43mm*50.5mm*15.5mm,TB8204Q-05,TB8204Q-05,,,7.62704E+11,"Elemental Series-Calendar Version TB8204Q Golden Blue","Stylish barrel-shaped quartz chronograph golden blue watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441885359,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/22_bc700677-9e0c-447c-b42e-9f91e27c1281.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/19_97b9733b-0383-4af7-bb2d-3895c0e0bf76.jpg?v=1724725333",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/7_2445524c-a990-45c4-ab76-fd6fe70c0f7a.png?v=1729565303,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Golden Blue",,,,"Stylish barrel-shaped quartz chronograph golden blue watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883897,https://www.awin1.com/pclick.php?p=41882883897&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F2_f1d6dd78-9f48-40f7-8455-3c3318b7f1bb.png%3Fv%3D1729565303&feedId=105368&k=c1945cd2ae7afbfdd494cfe553fe711419ecdc98,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F26_30aa45a0-64f2-44b3-b64a-6a7efe92d495.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F24_3cc62930-1454-4d63-b916-d3a1b8c2ac9e.jpg%3Fv%3D1724725333&feedId=105368&k=0f83ae455e82f8f8ee8e57e4e51c074c1aebbb92,544,"Men's Watches",,43mm*50.5mm*15.5mm,TB8204Q-12,TB8204Q-12,,,7.17021E+11,"Elemental Series-Calendar Version TB8204Q Black Orange","Stylish barrel-shaped quartz chronograph black orange watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441721519,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/26_30aa45a0-64f2-44b3-b64a-6a7efe92d495.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/24_3cc62930-1454-4d63-b916-d3a1b8c2ac9e.jpg?v=1724725333",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/2_f1d6dd78-9f48-40f7-8455-3c3318b7f1bb.png?v=1729565303,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Black Orange",,,,"Stylish barrel-shaped quartz chronograph black orange watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883898,https://www.awin1.com/pclick.php?p=41882883898&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F8_d9da19f8-570c-4b04-89d2-31e400d0e7b9.png%3Fv%3D1729565303&feedId=105368&k=c6f626ade3793cfec7fcf5dbcfd72312424c964d,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F31_dc35bc5b-f2f0-4813-90a7-aa3a9fc31a6e.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F34_ad1acb4a-3596-435a-aa49-8e77bdb2029e.jpg%3Fv%3D1724725333&feedId=105368&k=c16ec091196757bdde7c511460f1b4ceb3e4c76f,544,"Men's Watches",,43mm*50.5mm*15.5mm,TB8204Q-11,TB8204Q-11,,,7.17299E+11,"Elemental Series-Calendar Version TB8204Q Silver Orange","Stylish barrel-shaped quartz chronograph silver orange watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441950895,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/31_dc35bc5b-f2f0-4813-90a7-aa3a9fc31a6e.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/34_ad1acb4a-3596-435a-aa49-8e77bdb2029e.jpg?v=1724725333",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/8_d9da19f8-570c-4b04-89d2-31e400d0e7b9.png?v=1729565303,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Silver Orange",,,,"Stylish barrel-shaped quartz chronograph silver orange watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883899,https://www.awin1.com/pclick.php?p=41882883899&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F5_11d7054d-b856-4bbd-bc98-aadf9ea8ea49.png%3Fv%3D1729565302&feedId=105368&k=4125a702045bb7e458e32b48f0bc60fcabbe0be1,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F38.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F37.jpg%3Fv%3D1724725333&feedId=105368&k=8b5b2db6976a6aebdeb65a8f4f204650e69def21,544,"Men's Watches",,43mm*50.5mm*15.5mm,TB8204Q-07,TB8204Q-07,,,7.62704E+11,"Elemental Series-Calendar Version TB8204Q Black Yellow","Stylish barrel-shaped quartz chronograph black yellow watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441787055,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/38.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/37.jpg?v=1724725333",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/5_11d7054d-b856-4bbd-bc98-aadf9ea8ea49.png?v=1729565302,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Black Yellow",,,,"Stylish barrel-shaped quartz chronograph black yellow watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
105368,109230,Tsarbomba,41882883900,https://www.awin1.com/pclick.php?p=41882883900&a=3002879&m=109230,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F3_58099c98-2596-4cc6-a580-2d7141864ac0.png%3Fv%3D1729565303&feedId=105368&k=70606970d0deadf374e38a40a324172642063de1,https://images2.productserve.com/?w=70&h=70&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F45_7bf22865-f96f-41eb-bb95-967dfcd79dcd.jpg%3Fv%3D1724725333%2Chttps%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0540%2F8145%2F4255%2Ffiles%2F42_a19aeb74-1e4c-4111-a902-c9c86ae1af7a.jpg%3Fv%3D1724725333&feedId=105368&k=18e066a23413be2d7d2a258397b1cc4805b12150,544,"Men's Watches",,43mm*50.5mm*14mm,TB8204Q-38,TB8204Q-38,,,7.17299E+11,"Elemental Series-Calendar Version TB8204Q Olive Green","Stylish barrel-shaped quartz chronograph olive green watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",https://tsarbomba.com/products/tsarbomba8204q1?variant=40899441688751,"https://cdn.shopify.com/s/files/1/0540/8145/4255/files/45_7bf22865-f96f-41eb-bb95-967dfcd79dcd.jpg?v=1724725333,https://cdn.shopify.com/s/files/1/0540/8145/4255/files/42_a19aeb74-1e4c-4111-a902-c9c86ae1af7a.jpg?v=1724725333",https://cdn.shopify.com/s/files/1/0540/8145/4255/files/3_58099c98-2596-4cc6-a580-2d7141864ac0.png?v=1729565303,219.99,219.99,21.999,,USD,"TSAR BOMBA WATCH",new,male,"Olive Green",,,,"Stylish barrel-shaped quartz chronograph olive green watch with Japanese VK67 movement, 316L stainless steel case, sapphire crystal, 50m water resistance, A-grade lume, and silicone strap.",,instock
